system_qubits,bath_qubits,J,h,num_sweeps,p,training_method,single_qubit_gate_noise,two_qubit_gate_noise,initial_state,ground_state_energy,bond_dim,energy,energy_diff,energy_std,truncation_error,combined_std,energy_density_atol,energy_atol,total_time_minutes
4,2,0.4,0.6,0,3,energy,0.001,0.01,zeros,-2.6015566228505618,32,-1.2167314285714288,1.384825194279133,0.018141181429462534,inf,inf,0.01,0.04,0.016714624563852944
4,2,0.4,0.6,0,3,energy,0.001,0.01,zeros,-2.6015566228505618,64,-1.1904000000000001,1.4111566228505616,0.018140852505006383,0.018141181429462534,0.025655272231357683,0.01,0.04,0.016714624563852944
4,2,0.4,0.6,0,3,energy,0.0005,0.005,zeros,-2.6015566228505644,32,-1.2159085714285716,1.3856480514219929,0.018141256313447644,inf,inf,0.01,0.04,0.017851801713307698
14,7,0.4,0.6,0,3,energy,0.0002,0.002,zeros,-9.289183679505994,32,-5.260957910014514,4.02822576949148,0.06046326184045041,inf,inf,0.01,0.14,0.01604214111963908
14,7,0.4,0.6,0,3,energy,0.0002,0.002,zeros,-9.289183679505994,64,-5.204354136429608,4.084829543076386,0.060460426589527876,0.06046326184045041,0.08550596011843008,0.01,0.14,0.01604214111963908
4,2,0.4,0.6,0,3,energy,0.0,0.0,zeros,-2.6015566228505618,32,-1.181897142857143,1.4196594799934188,0.018141538784432133,inf,inf,0.01,0.04,0.007248059908548991
4,2,0.4,0.6,0,3,energy,0.0005,0.005,zeros,-2.6015566228505644,64,-1.20768,1.3938766228505644,0.01814124209499323,0.018141256313447644,0.02565560066300063,0.01,0.04,0.017851801713307698
4,2,0.4,0.6,0,3,energy,0.0,0.0,zeros,-2.6015566228505618,64,-1.2312685714285716,1.3702880514219902,0.018135829741748537,0.04218428865460377,0.04591756232332704,0.01,0.04,0.007248059908548991
4,2,0.4,0.6,1,3,energy,0.0,0.0,zeros,-2.6015566228505653,32,-1.6635428571428572,0.9380137657077081,0.01770526507511419,inf,inf,0.01,0.04,0.01841946045557658
4,2,0.4,0.6,1,3,energy,0.0,0.0,zeros,-2.6015566228505653,64,-1.686857142857143,0.9146994799934223,0.017546879743871535,0.01770526507511419,0.02492728224508134,0.01,0.04,0.01841946045557658
14,7,0.4,0.6,0,3,energy,0.0007000000000000001,0.007000000000000001,zeros,-9.289183679506198,32,-5.203483309143687,4.085700370362511,0.06046829487976576,inf,inf,0.01,0.14,0.024441119035085043
14,7,0.4,0.6,0,3,energy,0.0007000000000000001,0.007000000000000001,zeros,-9.289183679506198,64,-5.21132075471698,4.077862924789218,0.06045786883337174,0.06046829487976576,0.08550771070224888,0.01,0.14,0.024441119035085043
8,4,0.4,0.6,1,3,energy,0.0,0.0,zeros,-5.276561938925694,32,-3.6213310580204783,1.6552308809052154,0.03485742568688681,inf,inf,0.01,0.08,0.060860641797383624
8,4,0.4,0.6,1,3,energy,0.0,0.0,zeros,-5.276561938925694,64,-3.593003412969283,1.6835585259564105,0.03495096657552288,0.03495096657552288,0.04942813094915319,0.01,0.08,0.060860641797383624
4,2,0.4,0.6,1,3,energy,0.001,0.01,zeros,-2.6015566228505635,32,-1.5237485714285715,1.077808051421992,0.018180481155810835,inf,inf,0.01,0.04,0.1705647627512614
4,2,0.4,0.6,1,3,energy,0.001,0.01,zeros,-2.6015566228505635,64,-1.5444114285714288,1.0571451942791348,0.018157095280979432,0.018180481155810835,0.025694552031498008,0.01,0.04,0.1705647627512614
4,2,0.4,0.6,1,3,energy,0.0005,0.005,zeros,-2.601556622850567,32,-1.6179199999999998,0.9836366228505673,0.017903398263961437,inf,inf,0.01,0.04,0.17240295807520548
4,2,0.4,0.6,1,3,energy,0.0005,0.005,zeros,-2.601556622850567,64,-1.6279771428571426,0.9735794799934245,0.01792552505913279,0.01792552505913279,0.025350520651284368,0.01,0.04,0.17240295807520548
8,4,0.4,0.6,1,3,energy,0.0005,0.005,zeros,-5.2765619389256955,32,-3.4085324232081913,1.8680295157175042,0.03556162749929802,inf,inf,0.01,0.08,0.3012014071146647
8,4,0.4,0.6,1,3,energy,0.0005,0.005,zeros,-5.2765619389256955,64,-3.36518771331058,1.9113742256151154,0.03564580146076904,0.03564580146076904,0.05041077586747826,0.01,0.08,0.3012014071146647
4,2,0.4,0.6,2,3,energy,0.00030000000000000003,0.0030000000000000005,zeros,-2.601556622850563,32,-1.8966857142857143,0.7048709085648488,0.016831435498742765,inf,inf,0.01,0.04,0.3337013324101766
4,2,0.4,0.6,2,3,energy,0.00030000000000000003,0.0030000000000000005,zeros,-2.601556622850563,64,-1.8668799999999999,0.7346766228505632,0.01692194861564916,0.01785304002635498,0.024598442697319346,0.01,0.04,0.3337013324101766
4,2,0.4,0.6,2,3,energy,0.0008,0.008,zeros,-2.6015566228505627,32,-1.8125714285714285,0.7889851942791342,0.017238768727388415,inf,inf,0.01,0.04,0.3509228785832723
4,2,0.4,0.6,2,3,energy,0.0008,0.008,zeros,-2.6015566228505627,64,-1.8072685714285714,0.7942880514219912,0.01723969506706439,0.01723969506706439,0.024380610575019005,0.01,0.04,0.3509228785832723
4,2,0.4,0.6,2,3,energy,0.0,0.0,zeros,-2.601556622850563,32,-1.9619657142857143,0.6395909085648488,0.016612088494098006,inf,inf,0.01,0.04,0.31566781202952066
4,2,0.4,0.6,2,3,energy,0.0,0.0,zeros,-2.601556622850563,64,-1.9741257142857143,0.6274309085648488,0.016436422024812027,0.016612088494098006,0.02336915602056414,0.01,0.04,0.31566781202952066
14,7,0.4,0.6,1,3,energy,0.0002,0.002,zeros,-9.289183679507234,32,-6.461538461538461,2.827645217968773,0.0608738819764671,inf,inf,0.01,0.14,0.4545558134714762
14,7,0.4,0.6,1,3,energy,0.0002,0.002,zeros,-9.289183679507234,64,-6.370972423802612,2.9182112557046223,0.06119732312096829,0.06119732312096829,0.08654608433860193,0.01,0.14,0.4545558134714762
14,7,0.4,0.6,1,3,energy,0.0007000000000000001,0.007000000000000001,zeros,-9.289183679507186,32,-5.978809869375907,3.3103738101312787,0.06258114496341673,inf,inf,0.01,0.14,0.44973853826522825
14,7,0.4,0.6,1,3,energy,0.0007000000000000001,0.007000000000000001,zeros,-9.289183679507186,64,-6.102467343976777,3.1867163355304093,0.062165302896549535,0.08666167801002202,0.10665257296348965,0.01,0.14,0.44973853826522825
4,2,0.4,0.6,2,3,energy,0.001,0.01,zeros,-2.6015566228505613,32,-1.7818514285714286,0.8197051942791327,0.017385353350054148,inf,inf,0.01,0.04,0.3433804114659627
4,2,0.4,0.6,2,3,energy,0.001,0.01,zeros,-2.6015566228505613,64,-1.7776457142857143,0.823910908564847,0.01736015486381463,0.017385353350054148,0.02456879093488049,0.01,0.04,0.3433804114659627
4,2,0.4,0.6,2,3,energy,0.0005,0.005,zeros,-2.6015566228505653,32,-1.8826057142857142,0.7189509085648511,0.016950281875626937,inf,inf,0.01,0.04,0.3384159008661906
4,2,0.4,0.6,2,3,energy,0.0005,0.005,zeros,-2.6015566228505653,64,-1.8613942857142858,0.7401623371362795,0.017031610621761874,0.017031610621761874,0.024086334730353303,0.01,0.04,0.3384159008661906
4,2,0.4,0.6,4,3,energy,0.0006000000000000001,0.006000000000000001,zeros,-2.601556622850567,32,-2.183862857142857,0.41769376570771,0.015045782112901982,inf,inf,0.01,0.04,0.732649052143097
4,2,0.4,0.6,4,3,energy,0.0006000000000000001,0.006000000000000001,zeros,-2.601556622850567,64,-2.1751771428571427,0.4263794799934244,0.015018325219194857,0.015045782112901982,0.0212585430304719,0.01,0.04,0.732649052143097
4,2,0.4,0.6,4,3,energy,0.0001,0.001,zeros,-2.601556622850565,32,-2.3244799999999994,0.27707662285056545,0.013934709097274183,inf,inf,0.01,0.04,0.6643537044525146
4,2,0.4,0.6,4,3,energy,0.0001,0.001,zeros,-2.601556622850565,64,-2.3258514285714287,0.2757051942791362,0.01391093814968332,0.013934709097274183,0.019689853169334977,0.01,0.04,0.6643537044525146
4,2,0.4,0.6,3,3,energy,0.0,0.0,zeros,-2.6015566228505667,32,-2.22464,0.3769166228505667,0.014936431766969292,inf,inf,0.01,0.04,0.46782708168029785
4,2,0.4,0.6,3,3,energy,0.0,0.0,zeros,-2.6015566228505667,64,-2.2418285714285715,0.35972805142199515,0.014877381076280291,0.014936431766969292,0.0210815905855842,0.01,0.04,0.46782708168029785
4,2,0.4,0.6,3,3,energy,0.00030000000000000003,0.0030000000000000005,zeros,-2.6015566228505658,32,-2.1252571428571425,0.47629947999342326,0.015524280786683485,inf,inf,0.01,0.04,0.49637818336486816
4,2,0.4,0.6,3,3,energy,0.00030000000000000003,0.0030000000000000005,zeros,-2.6015566228505658,64,-2.138605714285714,0.46295090856485155,0.015418415396809472,0.015524280786683485,0.021879918356620103,0.01,0.04,0.49637818336486816
28,14,0.4,0.6,1,3,energy,0.0002,0.002,zeros,-18.65197039167717,32,-12.83703703703704,5.8149333546401305,0.12214201442656178,inf,inf,0.01,0.28,0.8198724389076233
28,14,0.4,0.6,1,3,energy,0.0002,0.002,zeros,-18.65197039167717,64,-13.12592592592593,5.526044465751241,0.12149799480806167,0.23189729557047234,0.26179785796541344,0.01,0.28,0.8198724389076233
4,2,0.4,0.6,3,3,energy,0.0008,0.008,zeros,-2.601556622850566,32,-2.020022857142857,0.5815337657077091,0.016259709552184486,inf,inf,0.01,0.04,0.5033269842465719
4,2,0.4,0.6,3,3,energy,0.0008,0.008,zeros,-2.601556622850566,64,-1.9913142857142858,0.6102423371362804,0.016259439513080808,0.017188209489893,0.023660175797064174,0.01,0.04,0.5033269842465719
28,14,0.4,0.6,1,3,energy,0.0007000000000000001,0.007000000000000001,zeros,-18.65197039167793,32,-12.512820512820516,6.139149878857415,0.12348513079630198,inf,inf,0.01,0.28,0.8548773964246114
28,14,0.4,0.6,1,3,energy,0.0007000000000000001,0.007000000000000001,zeros,-18.65197039167793,64,-12.301424501424504,6.350545890253427,0.12460897231324768,0.12460897231324768,0.17622369863876836,0.01,0.28,0.8548773964246114
